qid,gold_axis,role,model,pred_axis,latency_ms,cached,raw_text
q01,A,router_fast,DeepSeek-V4-Flash,A,2087,True,"AXIS: A REASON: Query directly asks about plasma Aβ42/Aβ40 ratio, a biomarker for amyloid pathology."
q01,A,teacher_premium,Qwen3-235B-A22B-Instruct-2507,A,6901,True,"AXIS: A   REASON: The query directly references plasma Aβ42/Aβ40 ratio, a core amyloid biomarker."
q01,A,teacher_medical,Baichuan-M3-Plus,A,9484,True,"AXIS: A   REASON: The query directly references the **plasma Aβ42/Aβ40 ratio**, a key biomarker for cerebral amyloid pathology, which is central to the amyloid (A) axis. This ratio is **reduced in individuals with positive amyloid PET findings** and correlates with CSF amyloid measurements and brain amyloid deposition ^[3]^.  Notably, the **plasma Aβ42/Aβ40 ratio is more strongly associated with amyloid deposition** than individual Aβ42 or Aβ40 values ^[3]^, and it demonstrates **high diagnostic"
q02,A,router_fast,DeepSeek-V4-Flash,A,7848,True,"AXIS: A REASON: Amyloid PET directly measures amyloid plaque deposition, core to Amyloid axis."
q02,A,teacher_premium,Qwen3-235B-A22B-Instruct-2507,A,1248,True,"AXIS: A   REASON: Amyloid PET directly measures amyloid-beta plaque deposition, a core feature of amyloid pathology."
q02,A,teacher_medical,Baichuan-M3-Plus,A,9608,True,"AXIS: A   REASON: Amyloid PET directly measures **fibrillar amyloid plaque deposition** in the brain, a core pathological feature of Alzheimer's disease ^[3]^, making it a direct in vivo biomarker for Aβ pathology. The technique visualizes aggregated Aβ plaques, distinguishing it from fluid biomarkers that measure soluble forms like Aβ42 or p-tau ^[7]^.  Notably, **amyloid PET provides information on the magnitude and spatial distribution of fibrillar amyloid plaque deposition** ^[6]^, which is "
q03,A,router_fast,DeepSeek-V4-Flash,A,16424,True,"AXIS: A   REASON: Query focuses on cerebral Aβ plaque deposition, a core amyloid pathology."
q03,A,teacher_premium,Qwen3-235B-A22B-Instruct-2507,A,5887,True,"AXIS: A   REASON: The query directly focuses on Aβ plaque deposition, a core amyloid biomarker in preclinical AD."
q03,A,teacher_medical,Baichuan-M3-Plus,A,14002,True,"AXIS: A   REASON: The query directly focuses on **cerebral Aβ plaque deposition**, a core feature of amyloid pathology, which is central to the **A** axis in the ATN framework ^[2]^ ^[5]^.  The presence of **Aβ aggregates in the form of extracellular senile plaques** is described as one of the key neuropathological hallmarks of Alzheimer's disease ^[5]^, and **Aβ deposition is regarded as the initial factor in the pathogenesis of AD** ^[8]^.  Notably, **progressive accumulation of fibrillar amyl"
q04,A,router_fast,DeepSeek-V4-Flash,A,2894,True,"AXIS: A REASON: Directly queries Aβ42 discordance between plasma and CSF, an amyloid biomarker issue."
q04,A,teacher_premium,Qwen3-235B-A22B-Instruct-2507,A,1413,True,"AXIS: A   REASON: The query focuses on plasma and CSF Aβ42 levels, which are core amyloid biomarkers."
q04,A,teacher_medical,Baichuan-M3-Plus,A,10938,True,"AXIS: A   REASON: The query directly addresses **plasma and CSF Aβ42 levels**, which are core biomarkers under the **Amyloid (A) axis**, focusing on mechanistic discordance in Aβ42 measurements between biofluids.    The reduction in plasma Aβ42 with normal CSF Aβ42 may reflect **peripheral contributions to plasma Aβ** that are not directly tied to central amyloid pathology. As noted, **plasma Aβ levels are influenced by peripheral sources**, including platelet-derived Aβ and renal clearance, whi"
q05,A,router_fast,DeepSeek-V4-Flash,A,6260,True,"AXIS: A REASON: Directly asks about Aβ accumulation, the core amyloid pathology in Alzheimer's disease."
q05,A,teacher_premium,Qwen3-235B-A22B-Instruct-2507,A,15234,True,"AXIS: A   REASON: The query directly references Aβ accumulation, a core amyloid pathology in Alzheimer's disease."
q05,A,teacher_medical,Baichuan-M3-Plus,A,12152,True,"AXIS: A   REASON: Aβ accumulation is considered the **earliest event in the pathophysiological cascade** of Alzheimer's disease, preceding tau aggregation and neurodegeneration by decades ^[1]^.  According to the amyloid cascade hypothesis, **Aβ deposition begins up to two decades before symptom onset** ^[3]^, initially accumulating in cortical areas with high metabolic activity such as the **precuneus, medial orbitofrontal, and posterior cingulate cortices** ^[3]^.  Notably, **Aβ pathology may "
q06,T,router_fast,DeepSeek-V4-Flash,T,2352,True,"AXIS: T REASON: p-tau217 is a specific tau biomarker, directly indicating tau pathology."
q06,T,teacher_premium,Qwen3-235B-A22B-Instruct-2507,T,1391,True,"AXIS: T   REASON: The query directly references plasma p-tau217, a specific biomarker of tau pathology."
q06,T,teacher_medical,Baichuan-M3-Plus,T,8659,True,"AXIS: T   REASON: Elevated plasma p-tau217 is **highly specific for Alzheimer's disease pathology**, showing a **strong association with both amyloid and tau pathology** in the brain, particularly reflecting **tau phosphorylation and early tau pathology** ^[10]^.  Notably, plasma p-tau217 demonstrates **greater association with both brain Aβ and early tau pathology** compared to other p-tau isoforms, and its levels increase progressively with disease progression and cognitive impairment ^[10]^. "
q07,T,router_fast,DeepSeek-V4-Flash,T,7746,True,"AXIS: T   REASON: Query compares p-tau181, p-tau217, p-tau231, which are tau biomarkers."
q07,T,teacher_premium,Qwen3-235B-A22B-Instruct-2507,T,1493,True,"AXIS: T   REASON: The query focuses on comparing phosphorylated tau isoforms, which are core biomarkers of tau pathology in early AD."
q07,T,teacher_medical,Baichuan-M3-Plus,T,14045,True,"AXIS: T   REASON: The query directly compares phosphorylated tau isoforms (p-tau181, p-tau217, p-tau231), which are core biomarkers of tau pathology in early Alzheimer's disease.    These biomarkers are explicitly linked to **tau protein pathology**, a defining neuropathological hallmark of AD. According to the materials, **p-tau217** demonstrates superior diagnostic performance compared to p-tau181 and p-tau231, with **higher sensitivity and specificity**, particularly in distinguishing AD from"
q08,T,router_fast,DeepSeek-V4-Flash,T,2891,True,"AXIS: T   REASON: Query focuses on neurofibrillary tangles and tau phosphorylation, core tau pathology."
q08,T,teacher_premium,Qwen3-235B-A22B-Instruct-2507,T,6436,True,"AXIS: T   REASON: The query directly asks about neurofibrillary tangles and tau phosphorylation, both core components of tau pathology."
q08,T,teacher_medical,Baichuan-M3-Plus,T,12098,True,"AXIS: T   REASON: The query directly focuses on **neurofibrillary tangles** and their formation through **tau phosphorylation**, which are core elements of the **Tau (T) axis**.    Neurofibrillary tangles (NFTs) are intracellular aggregates composed of **hyperphosphorylated tau protein** ^[3]^, and their formation is initiated by **abnormal hyperphosphorylation** of tau, leading to its detachment from microtubules ^[6]^ and subsequent aggregation into **paired helical filaments (PHFs)**, the pri"
q09,T,router_fast,DeepSeek-V4-Flash,T,3292,True,"AXIS: T REASON: Query directly asks about tau PET, a tau biomarker, as subject."
q09,T,teacher_premium,Qwen3-235B-A22B-Instruct-2507,T,1399,True,"AXIS: T   REASON: The query focuses on tau PET as a biomarker, specifically its temporal role relative to amyloid in AD pathology."
q09,T,teacher_medical,Baichuan-M3-Plus,T,10001,True,"AXIS: T   REASON: Tau PET is considered downstream because **tau pathology accelerates after amyloid accumulation** and correlates more closely with cognitive decline, whereas amyloid PET detects earlier changes in the disease cascade ^[1]^.  Furthermore, **phosphorylation and subsequent tau accumulation are downstream effects of Aβ-related pathology** ^[1]^, and amyloid positivity is a necessary condition for AD diagnosis, preceding significant tau spread beyond the medial temporal lobe ^[1]^. "
q10,T,router_fast,DeepSeek-V4-Flash,T,1842,True,AXIS: T REASON: Braak stages directly describe tau pathology progression.
q10,T,teacher_premium,Qwen3-235B-A22B-Instruct-2507,T,1449,True,"AXIS: T   REASON: The query directly asks about Braak staging, which characterizes the progression of tau pathology in Alzheimer's disease."
q10,T,teacher_medical,Baichuan-M3-Plus,T,10157,True,"AXIS: T   REASON: The query directly asks about the staging of tau pathology, which is defined by the **Braak stages I–VI** and reflects the **spatial progression of neurofibrillary tangles** composed of hyperphosphorylated tau protein ^[2]^.  This progression follows a **cascade extension pattern**: beginning in the **transentorhinal region (Braak I-II)**, spreading to **limbic areas (Braak III-IV)**, and finally involving the **neocortex (Braak V-VI)** ^[1]^.  Tau-PET imaging in vivo has confi"
q11,N,router_fast,DeepSeek-V4-Flash,N,5233,True,"AXIS: N REASON: Query focuses on hippocampal atrophy and NfL, both neurodegeneration biomarkers."
q11,N,teacher_premium,Qwen3-235B-A22B-Instruct-2507,N,11343,True,"AXIS: N   REASON: The query focuses on hippocampal atrophy and elevated plasma NfL, both direct biomarkers of neurodegeneration."
q11,N,teacher_medical,Baichuan-M3-Plus,N,13070,True,"AXIS: N   REASON: The findings directly reference **hippocampal atrophy on MRI** and **elevated plasma NfL**, both core biomarkers of neurodegeneration (N) in the AT(N) framework ^[1]^, indicating neuronal injury.    Plasma NfL is a well-established marker of **axonal damage and neurodegeneration**, with strong associations to structural brain changes. Evidence shows that **higher NfL levels correlate with reduced cortical thickness**, particularly in AD-signature regions, and with **hippocampal"
q12,N,router_fast,DeepSeek-V4-Flash,N,2179,True,AXIS: N REASON: Neurofilament light chain is a biomarker for neurodegeneration and neuronal injury.
q12,N,teacher_premium,Qwen3-235B-A22B-Instruct-2507,N,4390,True,AXIS: N   REASON: Elevated neurofilament light chain (NfL) is a direct biomarker of neurodegeneration and neuronal/axonal damage.
q12,N,teacher_medical,Baichuan-M3-Plus,N,9031,True,"AXIS: N   REASON: Elevated serum neurofilament light chain (NfL) is a **marker of axonal injury and neurodegeneration**, reflecting neuronal damage irrespective of the specific underlying cause ^[1]^ ^[4]^.  NfL levels increase in both cerebrospinal fluid and blood following axonal damage and are **not specific to Alzheimer’s disease** ^[2]^; they are elevated across various neurodegenerative conditions including AD, frontotemporal dementia, ALS, and multiple sclerosis ^[2]^ ^[5]^.  Importantly,"
q13,N,router_fast,DeepSeek-V4-Flash,N,5772,True,AXIS: N REASON: FDG-PET hypometabolism is a neurodegeneration biomarker listed in axis N.
q13,N,teacher_premium,Qwen3-235B-A22B-Instruct-2507,N,1605,True,AXIS: N   REASON: FDG-PET hypometabolism is a marker of neurodegeneration and neuronal dysfunction in Alzheimer's disease.
q13,N,teacher_medical,Baichuan-M3-Plus,N,13002,True,"AXIS: N   REASON: The query directly references FDG-PET hypometabolism, a key biomarker of neurodegeneration, which is classified under the N axis.    The typical FDG-PET pattern in early Alzheimer's disease involves **hypometabolism in the temporoparietal regions, posterior cingulate cortex, and precuneus** ^[1]^ ^[9]^, often appearing **before structural changes** are detectable on MRI ^[2]^ ^[9]^. This pattern is considered a sensitive indicator of synaptic and neuronal dysfunction ^[2]^ and "
q14,N,router_fast,DeepSeek-V4-Flash,N,4176,True,AXIS: N REASON: Hippocampal volume is a direct measure of neurodegeneration via MRI.
q14,N,teacher_premium,Qwen3-235B-A22B-Instruct-2507,N,1507,True,AXIS: N   REASON: Hippocampal volume is a key neurodegeneration biomarker tracked via MRI in AD progression.
q14,N,teacher_medical,Baichuan-M3-Plus,N,11967,True,"AXIS: N   REASON: Hippocampal volume change is a core biomarker of neurodegeneration, directly reflecting neuronal loss and atrophy in Alzheimer's disease ^[4]^, and is widely recognized as an early structural change linked to AD risk ^[4]^.  Longitudinal tracking of hippocampal volume is typically performed using serial MRI scans, with **Annual Percentage Change (APC)** used to quantify decline ^[1]^. The APC is calculated based on normalized average hippocampal volume relative to total brain v"
q15,N,router_fast,DeepSeek-V4-Flash,N,2438,True,"AXIS: N REASON: Synaptic loss is a direct marker of neurodegeneration, referenced as an early event."
q15,N,teacher_premium,Qwen3-235B-A22B-Instruct-2507,N,5311,True,"AXIS: N   REASON: Synaptic loss is a core feature of neurodegeneration, directly implicating the N axis."
q15,N,teacher_medical,Baichuan-M3-Plus,N,7684,True,"AXIS: N   REASON: Synaptic loss is a core feature of neurodegeneration, **preceding neuronal death** and strongly correlating with cognitive decline in Alzheimer's disease ^[2]^ ^[4]^ ^[6]^. Evidence indicates it occurs **early in the disease process**, even before amyloid plaque formation ^[8]^, and is **the best pathological correlate of cognitive deficits** ^[6]^ ^[10]^. Biomarkers such as CSF synaptic proteins and **SV2A PET** are emerging as surrogate markers for synaptic density, supportin"
q16,I,router_fast,DeepSeek-V4-Flash,I,2336,True,"AXIS: I REASON: GFAP is a marker of astrocyte reactivity, a key neuroinflammatory process."
q16,I,teacher_premium,Qwen3-235B-A22B-Instruct-2507,I,9683,True,"AXIS: I   REASON: Plasma GFAP is a biomarker of astrocyte reactivity, directly implicating neuroinflammation."
q16,I,teacher_medical,Baichuan-M3-Plus,I,10622,True,"AXIS: I   REASON: Elevated plasma GFAP is a **biomarker of astrocyte reactivity and neuroinflammation** ^[1]^, indicating early glial activation even before cognitive symptoms appear. This places the process within the **inflammation (I) axis**, as GFAP is specifically linked to astrogliosis and astrocytic injury ^[1]^.  Notably, GFAP levels increase with age and are **markedly elevated in Alzheimer’s disease**, though the rise is more linear in AD compared to the nonlinear increase in controls "
q17,I,router_fast,DeepSeek-V4-Flash,I,3351,True,"AXIS: I   REASON: Query directly asks about microglial activation and TREM2 signaling, both key inflammation biomarkers."
q17,I,teacher_premium,Qwen3-235B-A22B-Instruct-2507,I,1262,True,"AXIS: I   REASON: The query directly asks about microglial activation and TREM2, key markers of neuroinflammation in AD."
q17,I,teacher_medical,Baichuan-M3-Plus,I,12861,True,"AXIS: I   REASON: The query directly focuses on **microglial activation** and **TREM2 signaling**, which are core components of neuroinflammation, a key pathological axis in Alzheimer's disease.    TREM2, predominantly expressed on microglia, plays a crucial role in regulating **neuroinflammation and neurodegeneration** through downstream signaling pathways and transcriptional regulation of relevant genes ^[2]^, particularly in Alzheimer's and Parkinson’s diseases. Ligand binding—such as to **Aβ"
q18,I,router_fast,DeepSeek-V4-Flash,I,2450,True,"AXIS: I   REASON: Reactive astrocytes and GFAP, YKL-40 are directly linked to neuroinflammation axis."
q18,I,teacher_premium,Qwen3-235B-A22B-Instruct-2507,I,2537,True,"AXIS: I   REASON: The query focuses on reactive astrocytes and their biomarkers, which are key components of neuroinflammation in AD."
q18,I,teacher_medical,Baichuan-M3-Plus,I,13070,True,"AXIS: I   REASON: The query focuses on reactive astrocytes and their biomarkers (e.g., **GFAP**, **YKL-40**), which are key indicators of **neuroinflammation** and astrocyte reactivity in AD pathogenesis ^[1]^ ^[6]^.  Notably, **GFAP** is described as a marker of reactive astrogliosis and is **primarily associated with Aβ pathology**, with plasma GFAP levels correlating strongly with amyloid-PET positivity and predicting tau-PET abundance ^[1]^ ^[8]^. In contrast, **YKL-40 levels mainly reflect "
q19,I,router_fast,DeepSeek-V4-Flash,I,2168,True,"AXIS: I   REASON: Query explicitly focuses on neuroinflammation, a core pathology of the Inflammation axis."
q19,I,teacher_premium,Qwen3-235B-A22B-Instruct-2507,I,5772,True,"AXIS: I   REASON: The query directly focuses on neuroinflammation as a therapeutic target, implicating the inflammation axis."
q19,I,teacher_medical,Baichuan-M3-Plus,I,13347,True,"AXIS: I   REASON: The query focuses on neuroinflammation as a therapeutic target, directly implicating biomarkers like GFAP, sTREM2, and glial activation, which fall under the Inflammation (I) axis ^[1]^ ^[4]^ ^[6]^. Neuroinflammation is recognized as a pivotal driver of AD pathogenesis, operating through a self-reinforcing cycle with amyloid and tau pathologies ^[4]^. It is present from the earliest stages, often preceding cognitive decline and overlapping with Aβ deposition ^[6]^.  Notably, **"
q20,I,router_fast,DeepSeek-V4-Flash,I,2541,True,"AXIS: I REASON: Query directly asks about sTREM2 and microglial response, both key inflammation biomarkers."
q20,I,teacher_premium,Qwen3-235B-A22B-Instruct-2507,I,1780,True,"AXIS: I   REASON: The query directly references sTREM2 and microglial response, both key biomarkers of neuroinflammation in AD."
q20,I,teacher_medical,Baichuan-M3-Plus,I,10897,True,"AXIS: I   REASON: The query directly references **sTREM2** and **microglial response**, both core components of the **neuroinflammation (I) axis**, with sTREM2 being a key biomarker of microglial activation in AD ^[3]^ ^[8]^.  Elevated cerebrospinal fluid (CSF) levels of **sTREM2** are widely interpreted as a **proxy for microglial activation** ^[3]^, reflecting the dynamic response to disease progression. It is not merely an inert metabolite but a **functionally active immune mediator** that in"
q21,V,router_fast,DeepSeek-V4-Flash,V,13186,True,AXIS: V REASON: Query directly asks about APOE ε4 genotype and cerebrovascular/metabolic mechanisms.
q21,V,teacher_premium,Qwen3-235B-A22B-Instruct-2507,V,5061,True,"AXIS: V   REASON: APOE ε4 is directly linked to vascular-metabolic dysfunction, including BBB integrity and metabolic pathways."
q21,V,teacher_medical,Baichuan-M3-Plus,V,9806,True,"AXIS: V   REASON: The query focuses on **APOE ε4** and its role in **cerebrovascular dysfunction** (e.g., BBB integrity, cerebral blood flow) and **metabolic disruptions**, which are core components of the Vascular-Metabolic (V) axis ^[1]^ ^[5]^.  Specifically, APOE ε4 is implicated in **reduced cerebral blood flow (CBF)**, with a meta-analysis showing a consistent reduction associated with the genotype (SMD = -2.87) ^[1]^. It also contributes to **BBB leakage**, which occurs early and precedes "
q22,V,router_fast,DeepSeek-V4-Flash,V,4078,True,"AXIS: V REASON: Query focuses on cerebral small vessel disease, a vascular pathology."
q22,V,teacher_premium,Qwen3-235B-A22B-Instruct-2507,V,1975,True,AXIS: V   REASON: Cerebral small vessel disease is a key vascular pathology directly implicating the Vascular-Metabolic axis.
q22,V,teacher_medical,Baichuan-M3-Plus,V,9804,True,"AXIS: V   REASON: The query focuses on **cerebral small vessel disease**, a key component of vascular pathology, which is directly linked to the **Vascular-Metabolic (V) axis**. Multiple sources confirm its role in cognitive impairment and dementia, with **CSVD contributing to around 45% of all dementia cases worldwide** ^[3]^ and being **the most important vascular contributor to dementia** ^[12]^.  Notably, CSVD is not merely a coexisting condition but **an active amplifier of neurodegeneratio"
q23,V,router_fast,DeepSeek-V4-Flash,V,6450,True,"AXIS: V REASON: Query directly asks about vascular-metabolic factors, referencing homocysteine and HbA1c."
q23,V,teacher_premium,Qwen3-235B-A22B-Instruct-2507,V,4627,True,"AXIS: V   REASON: The query focuses on homocysteine and HbA1c, which are vascular-metabolic biomarkers, and their role in AD risk."
q23,V,teacher_medical,Baichuan-M3-Plus,V,11459,True,"AXIS: V   REASON: The query directly references **homocysteine** and **HbA1c**, both established biomarkers under the **Vascular-Metabolic (V) axis**, and asks how these factors compound AD risk. Elevated homocysteine is consistently linked to increased AD risk, with **each 5 μmol/L increase raising AD risk by 12%** ^[7]^, and is associated with **oxidative stress, endothelial dysfunction, and BBB disruption** ^[6]^.  Furthermore, **diabetes mellitus (DM)** has a hazard ratio of **1.62 for AD** "
q24,V,router_fast,DeepSeek-V4-Flash,V,1922,True,"AXIS: V REASON: Query directly asks about blood-brain barrier dysfunction, a vascular-metabolic axis biomarker."
q24,V,teacher_premium,Qwen3-235B-A22B-Instruct-2507,V,1677,True,AXIS: V   REASON: Blood-brain barrier dysfunction is a vascular-metabolic factor implicated in early AD pathogenesis.
q24,V,teacher_medical,Baichuan-M3-Plus,V,12059,True,"AXIS: V   REASON: Blood-brain barrier (BBB) dysfunction is highlighted as an **early sign of AD before dementia onset** and is closely tied to vascular-metabolic pathology, including **APOE ε4** as a key genetic risk factor for BBB impairment ^[1]^.  BBB breakdown facilitates the entry of **neurotoxic blood-derived factors, cells, and microbes**, triggering inflammatory and immune responses ^[1]^, and this disruption **precedes detectable symptomatology and neurophysiological changes** ^[3]^.  E"
q25,V,router_fast,DeepSeek-V4-Flash,V,7244,True,"AXIS: V REASON: Query focuses on cerebral hypoperfusion, directly referencing vascular pathology and blood flow."
q25,V,teacher_premium,Qwen3-235B-A22B-Instruct-2507,V,1273,True,AXIS: V   REASON: Cerebral hypoperfusion directly relates to vascular-metabolic dysfunction in at-risk individuals.
q25,V,teacher_medical,Baichuan-M3-Plus,V,10747,True,"AXIS: V   REASON: The query focuses on **cerebral hypoperfusion**, a key vascular-metabolic factor, and its role in cognitive decline, directly implicating the **Vascular-Metabolic (V) axis**. Multiple references highlight that **hypoperfusion may precede amyloid and tau pathology** and contribute to neurodegeneration and cognitive impairment through mechanisms like **impaired clearance of metabolic waste** and **reduced energy supply** ^[2]^.  Notably, **the expansion of outlier regions with se"
q26,OTHER,router_fast,DeepSeek-V4-Flash,OTHER,2296,True,"AXIS: OTHER REASON: Query asks about MMSE cognitive scale cut-off, not a biomarker or pathology axis."
q26,OTHER,teacher_premium,Qwen3-235B-A22B-Instruct-2507,OTHER,1302,True,"AXIS: OTHER   REASON: The query is about a cognitive scale (MMSE) cut-off, not a biomarker or pathological process."
q26,OTHER,teacher_medical,Baichuan-M3-Plus,OTHER,9618,True,"AXIS: OTHER   REASON: The query focuses on the MMSE cut-off, which is a **cognitive scale** used in clinical screening, not a direct biomarker of amyloid, tau, or neurodegeneration pathways.    While multiple sources indicate that **a score of 24 or below is commonly used to indicate potential cognitive impairment** ^[2]^, this threshold is not universally fixed. For instance, **education-stratified cut-offs are recommended**: ≤19 for illiterate individuals, ≤22 for those with primary education "
q27,OTHER,router_fast,DeepSeek-V4-Flash,OTHER,11105,True,"AXIS: OTHER REASON: Query asks about education's effect on cognitive decline, non-biomarker context."
q27,OTHER,teacher_premium,Qwen3-235B-A22B-Instruct-2507,OTHER,11639,True,"AXIS: OTHER   REASON: The query focuses on educational attainment and cognitive decline trajectory, which are non-biomarker factors."
q27,OTHER,teacher_medical,Baichuan-M3-Plus,OTHER,11908,True,"AXIS: [OTHER]   REASON: The query focuses on **educational attainment** and its impact on cognitive decline trajectory, which falls under non-biomarker clinical context, epidemiology, and cognitive reserve—best categorized under [OTHER]. While some studies link education to **tau pathology** and **gray matter volume (GMV)** as mediating factors ^[4]^, the primary subject is not the biomarker itself but the **modifying role of education**, a proxy for cognitive reserve.  Notably, evidence suggest"
q28,OTHER,router_fast,DeepSeek-V4-Flash,OTHER,1847,True,"AXIS: OTHER REASON: Query asks about lifestyle modifications, not biomarkers or pathology."
q28,OTHER,teacher_premium,Qwen3-235B-A22B-Instruct-2507,OTHER,1321,True,"AXIS: OTHER   REASON: The query asks about lifestyle modifications based on family history, which does not involve direct biomarker or pathological processes."
q28,OTHER,teacher_medical,Baichuan-M3-Plus,OTHER,19792,True,"AXIS: OTHER   REASON: The query focuses on **lifestyle modifications** and **family history**, which are non-biomarker risk factors, placing it under the [OTHER] axis per the rules.    While multiple documents support lifestyle interventions for those at risk—especially with a family history or genetic susceptibility such as **APOE ε4**—the core of the query is not about a specific biomarker but about **modifiable behaviors**.    Key recommendations from the evidence include: - **Multidomain lif"
q29,OTHER,router_fast,DeepSeek-V4-Flash,OTHER,3185,True,"AXIS: OTHER   REASON: Query asks about clinical presentation differences, not specific biomarkers."
q29,OTHER,teacher_premium,Qwen3-235B-A22B-Instruct-2507,OTHER,2803,True,AXIS: OTHER   REASON: The query compares clinical presentations of dementia types without referencing AD biomarkers or specific pathologies.
q29,OTHER,teacher_medical,Baichuan-M3-Plus,OTHER,11099,True,"AXIS: OTHER   REASON: The query focuses on differences in clinical presentation, which involves non-biomarker features like behavior, language, and cognitive patterns, falling outside specific pathological biomarkers."
q30,OTHER,router_fast,DeepSeek-V4-Flash,OTHER,2763,True,"AXIS: OTHER   REASON: Query is about global epidemiology, not biomarkers or pathology."
q30,OTHER,teacher_premium,Qwen3-235B-A22B-Instruct-2507,OTHER,5761,True,"AXIS: OTHER   REASON: The query focuses on global epidemiology, not biomarkers or specific pathological processes."
q30,OTHER,teacher_medical,Baichuan-M3-Plus,OTHER,13762,True,"AXIS: OTHER   REASON: The query focuses on global epidemiology in adults over 65, which involves population-level trends and not specific biomarkers or pathological processes.    **Key epidemiological points from the materials:**   - As of 2019, an estimated **57 million individuals worldwide suffered from dementia**, the most prevalent type being Alzheimer's disease (AD) ^[1]^, and this number is projected to reach **153 million by 2050** ^[1]^ (another source estimates 152.8 million by 2050) ^"
